Time,Object1Height,Object2Height,Object3Height
0.8167797,1.6,0.001,0.001
0.821529,1.6,0.001,0.001
0.8250718,1.6,0.001,0.001
0.8296025,1.6,0.001,0.001
0.8331495,1.6,0.001,0.001
0.8378158,1.6,0.001,0.001
0.841323,1.6,0.001,0.001
0.8465669,1.6,0.001,0.001
0.8517824,1.6,0.001,0.001
0.8554077,1.6,0.001,0.001
0.8600902,1.6,0.001,0.001
0.8639105,1.6,0.001,0.001
0.8693999,1.6,0.001,0.001
0.8734214,1.6,0.001,0.001
0.8787018,1.6,0.001,0.001
0.8848693,1.6,0.001,0.001
0.8884093,1.6,0.001,0.001
0.8936207,1.6,0.001,0.001
0.8973203,1.6,0.001,0.001
0.9018899,1.6,0.001,0.001
0.9066322,1.6,0.001,0.001
0.9105778,1.6,0.001,0.001
0.9150359,1.6,0.001,0.001
0.9193857,1.6,0.001,0.001
0.9266344,1.6,0.001,0.001
0.9318385,1.6,0.001,0.001
0.9360477,1.6,0.001,0.001
0.9408951,1.6,0.001,0.001
0.9455789,1.6,0.001,0.001
0.9516497,1.6,0.001,0.001
0.9574457,1.6,0.001,0.001
0.9604977,1.6,0.001,0.001
0.9649577,1.6,0.001,0.001
0.9681213,1.6,0.001,0.001
0.9719468,1.6,0.001,0.001
0.9752077,1.6,0.001,0.001
0.9793042,1.6,0.001,0.001
0.9823759,1.6,0.001,0.001
0.9863435,1.6,0.001,0.001
0.9894021,1.6,0.001,0.001
0.9926523,1.6,0.001,0.001
0.996563,1.6,0.001,0.001
0.9997322,1.6,0.001,0.001
1.003694,1.6,0.001,0.001
1.006968,1.6,0.001,0.001
1.011083,1.6,0.001,0.001
1.01434,1.6,0.001,0.001
1.01823,1.6,0.001,0.001
1.021333,1.6,0.001,0.001
1.026216,1.6,0.001,0.001
1.029492,1.6,0.001,0.001
1.033337,1.6,0.001,0.001
1.036566,1.6,0.001,0.001
1.039356,1.6,0.001,0.001
1.04302,1.6,0.001,0.001
1.051668,1.6,0.001,0.001
1.054643,1.6,0.001,0.001
1.058061,1.6,0.001,0.001
1.061169,1.6,0.001,0.001
1.064198,1.6,0.001,0.001
1.066822,1.6,0.001,0.001
1.069512,1.6,0.001,0.001
1.072228,1.6,0.001,0.001
1.074744,1.6,0.001,0.001
1.077479,1.6,0.001,0.001
1.080859,1.6,0.001,0.001
1.084008,1.6,0.001,0.001
1.086852,1.6,0.001,0.001
1.089439,1.6,0.001,0.001
1.092024,1.6,0.001,0.001
1.094705,1.6,0.001,0.001
1.097448,1.6,0.001,0.001
1.100129,1.6,0.001,0.001
1.230442,1.6,0.001,0.001
1.24738,1.6,0.001,0.001
1.250977,1.6,0.001,0.001
1.255657,1.6,0.001,0.001
1.261807,1.6,0.001,0.001
1.265515,1.6,0.001,0.001
1.268701,1.6,0.001,0.001
1.271757,1.6,0.001,0.001
1.274688,1.6,0.001,0.001
1.277797,1.6,0.001,0.001
1.280762,1.6,0.001,0.001
1.283543,1.6,0.001,0.001
1.286283,1.6,0.001,0.001
1.288925,1.6,0.001,0.001
1.291438,1.6,0.001,0.001
1.294034,1.6,0.001,0.001
1.296755,1.6,0.001,0.001
1.299486,1.6,0.001,0.001
1.302176,1.6,0.001,0.001
1.304935,1.6,0.001,0.001
1.30754,1.6,0.001,0.001
1.310286,1.6,0.001,0.001
1.312816,1.6,0.001,0.001
1.315488,1.6,0.001,0.001
1.318221,1.6,0.001,0.001
1.320832,1.6,0.001,0.001
1.323531,1.6,0.001,0.001
1.326254,1.6,0.001,0.001
1.32883,1.6,0.001,0.001
1.331845,1.6,0.001,0.001
1.335335,1.6,0.001,0.001
1.338439,1.6,0.001,0.001
1.341144,1.6,0.001,0.001
1.343994,1.6,0.001,0.001
1.346632,1.6,0.001,0.001
